unit,na_item,sector,geo\time	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
PC_GDP,D62PAY,S1311,IT	0.3 	0.2 	0.3 	0.3 	0.3 	0.4 	0.2 	0.3 	0.3 	0.3 	0.6 	0.8 
PC_GDP,D62PAY,S1311,LT	2.1 	1.9 	1.9 	2.3 	2.7 	3.9 	3.4 	3.2 	2.8 	2.6 	2.6 	2.7 
PC_GDP,D62PAY,S1311,LU	2.8 	2.8 	2.7 	2.5 	2.6 	3.2 	3.1 	2.9 	3.2 	3.2 	3.0 	2.9 
PC_GDP,D62PAY,S1311,LV	1.5 	1.4 	1.2 	1.0 	0.8 	1.2 	1.3 	1.1 	1.0 	1.1 	1.1 	0.8 
PC_GDP,D62PAY,S1311,MT	11.9 	12.0 	11.8 	11.9 	11.7 	12.5 	12.2 	12.2 	12.3 	12.0 	11.9 	11.2 
PC_GDP,D62PAY,S1311,NL	1.6 	1.6 	1.9 	2.0 	2.2 	2.4 	2.5 	2.7 	2.6 	2.7 	2.5 	2.3 
PC_GDP,D62PAY,S1311,NO	13.8 	12.6 	11.7 	11.5 	11.1 	13.0 	12.9 	12.8 	12.7 	12.8 	13.2 	14.3 
PC_GDP,D62PAY,S1311,PL	1.8 	2.0 	1.6 	1.9 	1.6 	1.4 	1.4 	1.3 	1.3 	1.4 	1.4 	1.3 
PC_GDP,D62PAY,S1311,PT	4.6 	4.8 	4.5 	4.6 	4.8 	5.4 	5.3 	5.7 	5.3 	5.9 	5.8 	6.1 
PC_GDP,D62PAY,S1311,RO	1.7 	2.3 	2.9 	2.9 	3.0 	3.6 	3.6 	2.6 	2.3 	2.2 	2.1 	2.2 
PC_GDP,D62PAY,S1311,SE	8.7 	8.5 	8.1 	7.3 	7.1 	7.5 	7.0 	6.7 	6.8 	6.8 	6.6 	6.4 
PC_GDP,D62PAY,S1311,SI	3.1 	3.1 	2.9 	2.7 	2.6 	3.4 	3.6 	3.9 	3.7 	3.5 	3.3 	3.2 
PC_GDP,D62PAY,S1311,SK	4.7 	5.2 	4.7 	4.7 	4.5 	5.4 	5.8 	5.4 	5.4 	5.2 	5.0 	5.0 
PC_GDP,D62PAY,S1311,UK	10.9 	10.7 	10.5 	10.6 	11.1 	12.7 	12.7 	12.6 	12.9 	12.6 	12.3 	12.3 
PC_GDP,D62PAY,S1312,AT	1.1 	1.1 	1.1 	1.0 	1.0 	1.1 	1.1 	1.1 	1.0 	1.0 	1.0 	1.0 
PC_GDP,D62PAY,S1312,BE	1.3 	1.3 	1.3 	1.3 	1.4 	1.5 	1.5 	1.5 	1.5 	1.6 	1.6 	3.2 
PC_GDP,D62PAY,S1312,BG	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D62PAY,S1312,CH	1.3 	1.3 	1.2 	1.2 	1.2 	1.3 	1.3 	1.4 	1.4 	1.4 	1.4 	1.4 
PC_GDP,D62PAY,S1312,CY	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D62PAY,S1312,CZ	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D62PAY,S1312,DE	1.8 	1.6 	1.6 	1.5 	1.6 	1.8 	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 
PC_GDP,D62PAY,S1312,DK	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D62PAY,S1312,EA18	0.6 	0.5 	0.5 	0.5 	0.5 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 	0.7 
PC_GDP,D62PAY,S1312,EA19	0.6 	0.5 	0.5 	0.5 	0.5 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 	0.7 
PC_GDP,D62PAY,S1312,EE	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D62PAY,S1312,EL	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D62PAY,S1312,ES	0.2 	0.2 	0.2 	0.2 	0.3 	0.4 	0.4 	0.4 	0.4 	0.3 	0.4 	0.3 
PC_GDP,D62PAY,S1312,EU27	0.4 	0.4 	0.4 	0.4 	0.4 	0.5 	0.5 	0.4 	0.4 	0.5 	0.5 	0.5 
PC_GDP,D62PAY,S1312,EU28	0.4 	0.4 	0.4 	0.4 	0.4 	0.5 	0.5 	0.4 	0.4 	0.4 	0.5 	0.5 
PC_GDP,D62PAY,S1312,FI	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D62PAY,S1312,FR	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D62PAY,S1312,HR	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D62PAY,S1312,HU	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D62PAY,S1312,IE	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D62PAY,S1312,IS	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D62PAY,S1312,IT	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D62PAY,S1312,LT	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
